id,nombre,edad,nacionalidad,rating,club,valor,id_perfil,numero_jersey,altura,peso,carrera,conclusion,efectividad_cabeza,pases_cortos,voleas,dribling,pases_largos,control_balon,aceleración,agilidad,poder_tiro,salto,actitud,poder,tiros_largos,agresividad,posicionamiento,visión,penalties
77,M. Škriniar,23,Slovakia,85,Inter,46.5,0,37.0,188.0,79.0,40.0,42.0,80.0,70.0,40.0,59.0,68.0,67.0,70.0,48.0,50.0,78.0,77.0,83.0,30.0,86.0,30.0,57.0,56.0
78,S. Milinković-Savić,23,Serbia,85,Lazio,50.5,0,21.0,192.0,76.0,64.0,80.0,86.0,85.0,74.0,86.0,85.0,87.0,68.0,66.0,83.0,85.0,85.0,88.0,80.0,73.0,79.0,85.0,56.0
79,Marco Asensio,22,Spain,85,Real Madrid,54.0,1,10.0,182.0,76.0,82.0,82.0,50.0,83.0,79.0,86.0,82.0,85.0,85.0,79.0,86.0,58.0,76.0,61.0,88.0,45.0,82.0,84.0,62.0
80,N. Fekir,24,France,85,Olympique Lyonnais,50.0,1,18.0,176.0,74.0,83.0,82.0,49.0,83.0,77.0,90.0,75.0,89.0,79.0,90.0,84.0,69.0,80.0,82.0,82.0,73.0,81.0,81.0,81.0
81,Alisson,25,Brazil,85,Liverpool,36.5,0,13.0,192.0,91.0,17.0,13.0,19.0,45.0,20.0,27.0,44.0,30.0,54.0,40.0,21.0,52.0,32.0,78.0,14.0,27.0,13.0,66.0,23.0
82,J. Kimmich,23,Germany,85,FC Bayern München,40.5,0,18.0,179.0,69.0,90.0,66.0,74.0,85.0,61.0,80.0,80.0,85.0,78.0,84.0,75.0,79.0,85.0,65.0,69.0,74.0,80.0,79.0,44.0
83,Saúl,23,Spain,85,Atlético Madrid,50.5,1,6.0,182.0,77.0,69.0,78.0,83.0,85.0,76.0,83.0,83.0,85.0,74.0,76.0,78.0,79.0,86.0,77.0,79.0,69.0,82.0,82.0,55.0
84,R. Mahrez,27,Algeria,85,Manchester City,40.5,1,26.0,155.0,67.0,81.0,80.0,48.0,82.0,72.0,91.0,76.0,90.0,88.0,93.0,79.0,61.0,76.0,54.0,81.0,48.0,80.0,81.0,73.0
85,D. Alaba,26,Austria,85,FC Bayern München,38.0,1,8.0,155.0,76.0,81.0,63.0,75.0,82.0,68.0,79.0,80.0,83.0,79.0,79.0,83.0,82.0,87.0,71.0,82.0,69.0,76.0,77.0,80.0
86,Koke,26,Spain,85,Atlético Madrid,45.0,0,8.0,179.0,73.0,86.0,72.0,61.0,90.0,56.0,82.0,89.0,86.0,71.0,74.0,84.0,61.0,90.0,79.0,81.0,71.0,84.0,87.0,59.0
87,A. Lacazette,27,France,85,Arsenal,45.0,0,9.0,179.0,73.0,64.0,88.0,73.0,80.0,81.0,85.0,59.0,83.0,81.0,85.0,83.0,76.0,79.0,73.0,75.0,70.0,86.0,76.0,84.0
88,K. Manolas,27,Greece,85,Roma,37.5,0,4.0,188.0,83.0,27.0,10.0,80.0,60.0,16.0,54.0,61.0,65.0,80.0,68.0,40.0,86.0,76.0,82.0,12.0,86.0,25.0,22.0,26.0
89,N. Otamendi,30,Argentina,85,Manchester City,28.5,0,30.0,182.0,81.0,52.0,54.0,85.0,75.0,57.0,51.0,72.0,70.0,57.0,64.0,69.0,92.0,67.0,80.0,56.0,91.0,51.0,53.0,45.0
90,Parejo,29,Spain,85,Valencia CF,37.0,0,10.0,182.0,73.0,84.0,79.0,61.0,90.0,72.0,78.0,87.0,84.0,51.0,66.0,78.0,51.0,78.0,72.0,82.0,58.0,81.0,86.0,83.0
91,Paulinho,29,Brazil,85,Guangzhou Evergrande Taobao FC,37.0,0,9.0,182.0,71.0,64.0,81.0,85.0,84.0,75.0,82.0,80.0,84.0,73.0,69.0,83.0,90.0,92.0,81.0,80.0,81.0,84.0,78.0,71.0
92,W. Szczęsny,28,Poland,85,Juventus,32.0,0,1.0,198.0,89.0,12.0,12.0,16.0,32.0,14.0,11.0,36.0,22.0,51.0,55.0,15.0,71.0,45.0,65.0,14.0,40.0,14.0,48.0,18.0
93,A. Sánchez,29,Chile,85,Manchester United,37.5,0,7.0,173.0,73.0,77.0,80.0,73.0,77.0,83.0,87.0,75.0,86.0,86.0,90.0,84.0,87.0,83.0,72.0,81.0,79.0,84.0,82.0,77.0
94,Y. Brahimi,28,Algeria,85,FC Porto,39.0,0,8.0,179.0,66.0,79.0,76.0,46.0,79.0,73.0,93.0,72.0,86.0,87.0,92.0,69.0,72.0,85.0,49.0,76.0,46.0,83.0,79.0,75.0
95,J. Boateng,29,Germany,85,FC Bayern München,30.0,0,17.0,195.0,89.0,69.0,34.0,85.0,75.0,52.0,64.0,83.0,70.0,67.0,56.0,78.0,74.0,69.0,91.0,58.0,81.0,47.0,75.0,46.0
96,A. Vidal,31,Chile,85,FC Barcelona,26.0,0,8.0,155.0,74.0,76.0,75.0,82.0,83.0,78.0,76.0,79.0,82.0,60.0,74.0,86.0,85.0,83.0,79.0,85.0,93.0,80.0,80.0,81.0
97,I. Perišić,29,Croatia,85,Inter,37.5,0,44.0,185.0,79.0,83.0,79.0,80.0,81.0,81.0,84.0,77.0,85.0,84.0,78.0,84.0,84.0,89.0,78.0,79.0,65.0,85.0,79.0,76.0
98,E. Džeko,32,Bosnia Herzegovina,85,Roma,30.5,0,9.0,195.0,83.0,63.0,89.0,84.0,77.0,77.0,76.0,72.0,84.0,65.0,57.0,86.0,66.0,76.0,80.0,79.0,51.0,89.0,74.0,67.0
99,S. Khedira,31,Germany,85,Juventus,33.0,0,6.0,188.0,89.0,72.0,72.0,76.0,85.0,78.0,81.0,82.0,84.0,54.0,55.0,82.0,68.0,78.0,87.0,78.0,82.0,79.0,82.0,69.0
100,Diego Costa,29,Spain,85,Atlético Madrid,38.5,0,19.0,188.0,86.0,65.0,87.0,82.0,65.0,81.0,77.0,52.0,83.0,74.0,58.0,83.0,64.0,76.0,92.0,74.0,93.0,87.0,74.0,75.0
101,R. Nainggolan,30,Belgium,85,Inter,35.5,0,14.0,179.0,77.0,73.0,75.0,59.0,84.0,75.0,80.0,81.0,85.0,78.0,76.0,84.0,76.0,93.0,77.0,86.0,88.0,86.0,76.0,63.0
