id,nombre,edad,nacionalidad,rating,club,valor,id_perfil,numero_jersey,altura,peso,carrera,conclusion,efectividad_cabeza,pases_cortos,voleas,dribling,pases_largos,control_balon,aceleración,agilidad,poder_tiro,salto,actitud,poder,tiros_largos,agresividad,posicionamiento,visión,penalties
100,Diego Costa,29,Spain,85,Atlético Madrid,38.5,0,19.0,188.0,86.0,65.0,87.0,82.0,65.0,81.0,77.0,52.0,83.0,74.0,58.0,83.0,64.0,76.0,92.0,74.0,93.0,87.0,74.0,75.0
101,R. Nainggolan,30,Belgium,85,Inter,35.5,0,14.0,179.0,77.0,73.0,75.0,59.0,84.0,75.0,80.0,81.0,85.0,78.0,76.0,84.0,76.0,93.0,77.0,86.0,88.0,86.0,76.0,63.0
102,Naldo,35,Brazil,85,FC Schalke 04,9.0,0,29.0,201.0,91.0,45.0,57.0,94.0,76.0,60.0,60.0,70.0,68.0,60.0,46.0,92.0,45.0,61.0,83.0,82.0,72.0,53.0,59.0,60.0
103,B. Matuidi,31,France,85,Juventus,26.0,1,14.0,155.0,74.0,75.0,64.0,68.0,83.0,72.0,78.0,77.0,79.0,79.0,83.0,78.0,84.0,94.0,76.0,70.0,86.0,72.0,76.0,56.0
104,Miranda,33,Brazil,85,Inter,15.5,0,23.0,185.0,78.0,48.0,43.0,80.0,70.0,51.0,67.0,69.0,73.0,66.0,61.0,70.0,82.0,65.0,79.0,41.0,83.0,43.0,58.0,49.0
105,K. Benzema,30,France,85,Real Madrid,37.0,0,9.0,185.0,81.0,75.0,81.0,80.0,83.0,82.0,83.0,62.0,86.0,76.0,76.0,81.0,73.0,75.0,80.0,75.0,65.0,86.0,85.0,82.0
106,Filipe Luís,32,Brazil,85,Atlético Madrid,21.5,1,3.0,182.0,73.0,86.0,59.0,72.0,80.0,56.0,77.0,77.0,83.0,76.0,75.0,71.0,71.0,89.0,74.0,60.0,81.0,71.0,70.0,65.0
107,V. Kompany,32,Belgium,85,Manchester City,22.0,0,4.0,192.0,84.0,61.0,45.0,84.0,73.0,46.0,63.0,66.0,70.0,52.0,57.0,75.0,72.0,66.0,87.0,55.0,87.0,41.0,59.0,63.0
108,Pepe,35,Portugal,85,Beşiktaş JK,9.0,0,3.0,188.0,81.0,46.0,46.0,80.0,70.0,23.0,58.0,61.0,62.0,65.0,63.0,63.0,76.0,60.0,86.0,56.0,94.0,40.0,48.0,57.0
109,Z. Ibrahimović,36,Sweden,85,LA Galaxy,14.0,0,9.0,198.0,94.0,73.0,86.0,83.0,79.0,86.0,79.0,73.0,84.0,58.0,75.0,90.0,68.0,61.0,86.0,82.0,84.0,85.0,79.0,89.0
